url,title,abstract,pdf,clean_text
https://join.if.uinsgd.ac.id/index.php/join/article/view/898,improving indonesian named entity recognition for domain zakat using conditional random fields,"in indonesia, where the majority of the population is muslim, one of the obligations of a muslim is zakat. to reduce illiteracy about zakat among muslims, they need to have access to basic information about it. in order to facilitate the acquisition of this information, this study utilized named entity recognition ner and defined named entity classes for the zakat domain, including the pillars of islam, various types of zakat, and zakat management institutions. the conditional random fields method was used for testing indonesian ner in three scenarios. in the specific context of the zakat domain, ner can extract information about organizations, individuals, and locations involved in collecting and distributing zakat funds. this information can improve the zakat systems efficiency and transparency and support research and analysis on zakat related topics. the average performance evaluation of the indonesian ner model showed a precision of . , recall of . , and an f1 score of . .",,"improving indonesian named entity recognition for domain zakat using conditional random fields. in indonesia, where the majority of the population is muslim, one of the obligations of a muslim is zakat. to reduce illiteracy about zakat among muslims, they need to have access to basic information about it. in order to facilitate the acquisition of this information, this study utilized named entity recognition ner and defined named entity classes for the zakat domain, including the pillars of islam, various types of zakat, and zakat management institutions. the conditional random fields method was used for testing indonesian ner in three scenarios. in the specific context of the zakat domain, ner can extract information about organizations, individuals, and locations involved in collecting and distributing zakat funds. this information can improve the zakat systems efficiency and transparency and support research and analysis on zakat related topics. the average performance evaluation of the indonesian ner model showed a precision of . , recall of . , and an f1 score of . ."
https://join.if.uinsgd.ac.id/index.php/join/article/view/959,user experience design and prototypes of mobile based learning media for children with special needs in the dyslexia category,"education is the right of all living things regardless of social status, gender, or physical condition. persons with disabilities have the same rights and obligations as citizens. based on the constitution article paragraph and law number of concerning the national education system, it can be concluded that the state provides full guarantees for children with special needs to obtain quality education services. children with special needs are divided into several categories, in this study the research team will focus on solving learning problems for children with disabilities in the dyslexia category. dyslexia also known as reading disorder, is a disorder characterized by reading below the expected level for one s age. this study aims to find learning solutions by developing user experience designs and prototypes of mobile based learning media for children with special needs in the dyslexia category. this research applies design thinking methodology to understand users, challenge assumptions, redefine problems, and create innovative solutions to prototype and test.",,"user experience design and prototypes of mobile based learning media for children with special needs in the dyslexia category. education is the right of all living things regardless of social status, gender, or physical condition. persons with disabilities have the same rights and obligations as citizens. based on the constitution article paragraph and law number of concerning the national education system, it can be concluded that the state provides full guarantees for children with special needs to obtain quality education services. children with special needs are divided into several categories, in this study the research team will focus on solving learning problems for children with disabilities in the dyslexia category. dyslexia also known as reading disorder, is a disorder characterized by reading below the expected level for one s age. this study aims to find learning solutions by developing user experience designs and prototypes of mobile based learning media for children with special needs in the dyslexia category. this research applies design thinking methodology to understand users, challenge assumptions, redefine problems, and create innovative solutions to prototype and test."
https://join.if.uinsgd.ac.id/index.php/join/article/view/963,implementation of dynamic topic modeling to discover topic evolution on customer reviews,"annotation and analysis of online customer reviews were identified as significant problems in various domains, including business intelligence, marketing, and e governance. in the last decade, various approaches based on topic modeling have been developed to solve this problem. the known solutions, however, often only work well on content with static topics. as a result, it is challenging to analyze customer reviews that include dynamic and constantly expanding collections of short and noisy texts. a method was proposed to handle such dynamic content. the proposed system applied a dynamic topic model using bertopic to monitor topics and word evolution over time. it would help decide when the topic model needs to be retrained to capture emerging topics. several experiments were conducted to test the practicality and effectiveness of the proposed framework. it demonstrated how a dynamic topic model could handle the emergence of new and over time correlated topics in customer review data. as a result, improved performance was achieved compared to the baseline static topic model, with of new segmented texts discovered using the dynamic topic model. experimental results have, therefore, convincingly demonstrated that the proposed framework can be used in practice to develop automatic review annotation tools.",,"implementation of dynamic topic modeling to discover topic evolution on customer reviews. annotation and analysis of online customer reviews were identified as significant problems in various domains, including business intelligence, marketing, and e governance. in the last decade, various approaches based on topic modeling have been developed to solve this problem. the known solutions, however, often only work well on content with static topics. as a result, it is challenging to analyze customer reviews that include dynamic and constantly expanding collections of short and noisy texts. a method was proposed to handle such dynamic content. the proposed system applied a dynamic topic model using bertopic to monitor topics and word evolution over time. it would help decide when the topic model needs to be retrained to capture emerging topics. several experiments were conducted to test the practicality and effectiveness of the proposed framework. it demonstrated how a dynamic topic model could handle the emergence of new and over time correlated topics in customer review data. as a result, improved performance was achieved compared to the baseline static topic model, with of new segmented texts discovered using the dynamic topic model. experimental results have, therefore, convincingly demonstrated that the proposed framework can be used in practice to develop automatic review annotation tools."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1002,artificial neural network for classification task in tabular datasets and image processing a systematic literature review,"artificial neural network ann is one of the machine learning algorithms that is widely used for classification cases. some examples of classification cases that can be handled with ann include classifications in the health sector, banking, and classification in image processing. this study presents a systematic literature review slr of the ann algorithm to find a research gap that can be used in future research. there are phases used in preparing the slr. those are planning, conducting, and reporting. formulation of research questions and establishing a review protocol is carried out in the planning phase. the second phase is conducted. in this phase, searching for relevant articles is carried out, determining the quality of the literature found and selecting particles according to what has been formulated in the planning phase. the selected literature is then carried out by the process of extracting data and information and then synthesizing the data. writing slr articles based on existing findings is carried out in the last phase, namely reporting. the results of data and information extraction from the reviewed articles show that the ann algorithm is powerful enough with satisfactory results to handle classification cases that use tabular datasets or image datasets. the challenges faced are the need for extensive training data so that ann performance can be better, the use of appropriate evaluation measures based on the cases studied does not only rely on accuracy scores, and the determination of the correct hyperparameters to get better performance in the case of image processing.",,"artificial neural network for classification task in tabular datasets and image processing a systematic literature review. artificial neural network ann is one of the machine learning algorithms that is widely used for classification cases. some examples of classification cases that can be handled with ann include classifications in the health sector, banking, and classification in image processing. this study presents a systematic literature review slr of the ann algorithm to find a research gap that can be used in future research. there are phases used in preparing the slr. those are planning, conducting, and reporting. formulation of research questions and establishing a review protocol is carried out in the planning phase. the second phase is conducted. in this phase, searching for relevant articles is carried out, determining the quality of the literature found and selecting particles according to what has been formulated in the planning phase. the selected literature is then carried out by the process of extracting data and information and then synthesizing the data. writing slr articles based on existing findings is carried out in the last phase, namely reporting. the results of data and information extraction from the reviewed articles show that the ann algorithm is powerful enough with satisfactory results to handle classification cases that use tabular datasets or image datasets. the challenges faced are the need for extensive training data so that ann performance can be better, the use of appropriate evaluation measures based on the cases studied does not only rely on accuracy scores, and the determination of the correct hyperparameters to get better performance in the case of image processing."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1073,the impact of data augmentation techniques on the recognition of script images in deep learning models,"deep learning technology is widely used for recognizing character images, including various regional characters and diverse ancient scripts. deep learning models require large data sets to recognize images accurately. however, creating a dataset has limitations in terms of quantity, including the komering script dataset used in this study. data augmentation techniques can be applied to expand the dataset by modifying existing images to increase data diversity. this study aims to investigate the impact of augmentation techniques on the performance of deep learning models in the case of komering script recognition. the dataset consists of images for five classes of komering script characters. three augmentation techniques, namely random rotation, height shift, and width shift, were applied to the five characters, which were then used to test the model trained to recognize characters in the komering dataset. this research contributes to providing insights into the effect of augmentation techniques on robust confidence prediction of deep learning models for recognizing newly augmented data. the results demonstrate that the deep learning model can recognize modified data using augmentation techniques with an average accuracy of . .",,"the impact of data augmentation techniques on the recognition of script images in deep learning models. deep learning technology is widely used for recognizing character images, including various regional characters and diverse ancient scripts. deep learning models require large data sets to recognize images accurately. however, creating a dataset has limitations in terms of quantity, including the komering script dataset used in this study. data augmentation techniques can be applied to expand the dataset by modifying existing images to increase data diversity. this study aims to investigate the impact of augmentation techniques on the performance of deep learning models in the case of komering script recognition. the dataset consists of images for five classes of komering script characters. three augmentation techniques, namely random rotation, height shift, and width shift, were applied to the five characters, which were then used to test the model trained to recognize characters in the komering dataset. this research contributes to providing insights into the effect of augmentation techniques on robust confidence prediction of deep learning models for recognizing newly augmented data. the results demonstrate that the deep learning model can recognize modified data using augmentation techniques with an average accuracy of . ."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1133,development of augmented reality programming language using agile scrum methodology,"the agile scrum methodology for augmented reality development increases project team efficiency. private campus are frequently confronted with the dilemma of new students with various backgrounds that come not only from vocational high schools but also from high schools. first year students in the informatics study programme come not only from vocational informatics high schools, but also from high schools that specialize in social studies and languages. this is a difficult task in terms of imparting a comprehension of the fundamentals of programming. this study develops augmented reality in order to teach html and javascript. by combining basic principles with gaming, the proposed augmented reality ar makes programming interesting. players must comprehend their programming logic in order to be immersed in a virtual environment by answering coding bug questions. during usability testing, the system usability scale sus assesses user happiness and ar knowledge. participants from various programming backgrounds were tested on their knowledge of programming languages. according to usability research, of people found ar programming languages useful for learning and understanding basic programming languages. ar and agile scrum make programming more enjoyable. this study demonstrates how augmented reality can be used to teach programming languages. these findings imply that agile scrum and ar methods can improve learning and programming foundations. more research and development could lead to more complete and complicated ar learning environments for programming instruction.",,"development of augmented reality programming language using agile scrum methodology. the agile scrum methodology for augmented reality development increases project team efficiency. private campus are frequently confronted with the dilemma of new students with various backgrounds that come not only from vocational high schools but also from high schools. first year students in the informatics study programme come not only from vocational informatics high schools, but also from high schools that specialize in social studies and languages. this is a difficult task in terms of imparting a comprehension of the fundamentals of programming. this study develops augmented reality in order to teach html and javascript. by combining basic principles with gaming, the proposed augmented reality ar makes programming interesting. players must comprehend their programming logic in order to be immersed in a virtual environment by answering coding bug questions. during usability testing, the system usability scale sus assesses user happiness and ar knowledge. participants from various programming backgrounds were tested on their knowledge of programming languages. according to usability research, of people found ar programming languages useful for learning and understanding basic programming languages. ar and agile scrum make programming more enjoyable. this study demonstrates how augmented reality can be used to teach programming languages. these findings imply that agile scrum and ar methods can improve learning and programming foundations. more research and development could lead to more complete and complicated ar learning environments for programming instruction."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1030,designing a virtual campus tour using image stitching techniques to provide information on college entrance test,"the university of bengkulu administers college entrance exams, however some test takers still require assistance in locating the correct room, despite the building being marked. it is crucial to avoid errors in finding the right test room, as it can cause potential students to waste valuable time. therefore, a more precise and practical solution is necessary to provide information on test locations. this study designs a location based virtual tour that offers a degree view, providing information on the location of each building and the conditions inside and outside each test room. the virtual tour encompasses buildings, including test rooms, with to images captured at each location, then stitched together using image stitching techniques. the goal of the virtual tour is to create a comprehensive view of the test location and provide more detailed information on the room s condition. furthermore, the usability of this virtual tour was tested on high school students as potential test participants, utilizing the system usability scale sus to evaluate its effectiveness, resulting in a score of . . in other words, the virtual tour was found to be an effective tool in helping users understand the test location.",,"designing a virtual campus tour using image stitching techniques to provide information on college entrance test. the university of bengkulu administers college entrance exams, however some test takers still require assistance in locating the correct room, despite the building being marked. it is crucial to avoid errors in finding the right test room, as it can cause potential students to waste valuable time. therefore, a more precise and practical solution is necessary to provide information on test locations. this study designs a location based virtual tour that offers a degree view, providing information on the location of each building and the conditions inside and outside each test room. the virtual tour encompasses buildings, including test rooms, with to images captured at each location, then stitched together using image stitching techniques. the goal of the virtual tour is to create a comprehensive view of the test location and provide more detailed information on the room s condition. furthermore, the usability of this virtual tour was tested on high school students as potential test participants, utilizing the system usability scale sus to evaluate its effectiveness, resulting in a score of . . in other words, the virtual tour was found to be an effective tool in helping users understand the test location."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1081,xgboost and convolutional neural network classification models on pronunciation of hijaiyah letters according to sanad,"according to sanad, the pronunciation of hijaiyah letters can serve as a benchmark for correct or valid reading based on the makhraj and properties of the letters. however, the limited number of qur anic sanad teachers remains one of the obstacles to learning the qur an. this study aims to identify the most practical combination of classification models in constructing a voice recognition system that facilitates learning without requiring direct interaction with a teacher. the methods employed include the xgboost algorithm and cnn. as a result, out of the letter trait labels, the cnn model was utilized for of them, specifically for traits s1, s2, s4, s5, t1, t2, t3, t4, t5, and t6, on trait labels s3 and t7 applying the xgboost model. furthermore, the inclusion of additional data yielded performance results for each property, with an average accuracy of . for property s letters with opposing properties , . for property t letters without opposing properties , and an overall average of . per letter.",,"xgboost and convolutional neural network classification models on pronunciation of hijaiyah letters according to sanad. according to sanad, the pronunciation of hijaiyah letters can serve as a benchmark for correct or valid reading based on the makhraj and properties of the letters. however, the limited number of qur anic sanad teachers remains one of the obstacles to learning the qur an. this study aims to identify the most practical combination of classification models in constructing a voice recognition system that facilitates learning without requiring direct interaction with a teacher. the methods employed include the xgboost algorithm and cnn. as a result, out of the letter trait labels, the cnn model was utilized for of them, specifically for traits s1, s2, s4, s5, t1, t2, t3, t4, t5, and t6, on trait labels s3 and t7 applying the xgboost model. furthermore, the inclusion of additional data yielded performance results for each property, with an average accuracy of . for property s letters with opposing properties , . for property t letters without opposing properties , and an overall average of . per letter."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1106,analysis of electrocardiogram dynamic features for arrhythmia classification,"arrhythmia is a deviation from the normal heart rate pattern. arrhythmias are usually harmless, but they can cause heart problems. some types of arrhythmias include atrial fibrillation af , premature atrial contractions pac , and premature ventricular contractions pvc . many studies have been conducted to identify the dynamic characteristics of electrocardiogram ecg irregular waves in the detection of arrhythmias. however, the accuracy obtained in these studies is less than optimal. this study aims to solve the problem by evaluating three main features of arrhythmias using ecg signals rr interval, pr interval, and qrs complex. experiments were conducted rigorously on these three features. the accuracy achieved was . , with a specificity of . and a sensitivity of . .",,"analysis of electrocardiogram dynamic features for arrhythmia classification. arrhythmia is a deviation from the normal heart rate pattern. arrhythmias are usually harmless, but they can cause heart problems. some types of arrhythmias include atrial fibrillation af , premature atrial contractions pac , and premature ventricular contractions pvc . many studies have been conducted to identify the dynamic characteristics of electrocardiogram ecg irregular waves in the detection of arrhythmias. however, the accuracy obtained in these studies is less than optimal. this study aims to solve the problem by evaluating three main features of arrhythmias using ecg signals rr interval, pr interval, and qrs complex. experiments were conducted rigorously on these three features. the accuracy achieved was . , with a specificity of . and a sensitivity of . ."
https://join.if.uinsgd.ac.id/index.php/join/article/view/1138,implementation of recurrent neural network rnn for question similarity identification in indonesian language,"in a question and answer forum, the identification of question similarity is used to determine how similar two questions are. this procedure makes sure that user submitted questions are compared to the questions in a database for matches to improve system performance on the online q a platform. currently, question similarity is mostly done in foreign languages. the purpose of this research is to identify question similarities and evaluate the effectiveness of the methods used in indonesian language questions. the data used is a public dataset with labeled pairs of questions as and where label for different pairs of questions and label for the same pairs of questions. the method used is a recurrent neural network rnn with the manhattan distance approach to calculate the similarity distance between two questions. the question pairs are taken as two inputs with a reference label to identify the similarity distance between the two question inputs. we evaluated the model using three different optimizers namely rmsprop, adam, and adagrad. the best results were obtained using the adam optimizer with ratio split data and overall accuracy is , precision is , recall is . , and f1 score is . .",,"implementation of recurrent neural network rnn for question similarity identification in indonesian language. in a question and answer forum, the identification of question similarity is used to determine how similar two questions are. this procedure makes sure that user submitted questions are compared to the questions in a database for matches to improve system performance on the online q a platform. currently, question similarity is mostly done in foreign languages. the purpose of this research is to identify question similarities and evaluate the effectiveness of the methods used in indonesian language questions. the data used is a public dataset with labeled pairs of questions as and where label for different pairs of questions and label for the same pairs of questions. the method used is a recurrent neural network rnn with the manhattan distance approach to calculate the similarity distance between two questions. the question pairs are taken as two inputs with a reference label to identify the similarity distance between the two question inputs. we evaluated the model using three different optimizers namely rmsprop, adam, and adagrad. the best results were obtained using the adam optimizer with ratio split data and overall accuracy is , precision is , recall is . , and f1 score is . ."
